Ítem (ITEM),Coste (COST),Descripción (DESCRIPTION)
Píldoras de Radiación (x5) (Radiation Pills (x5)),200cr,Recibe 1d5 DMG y reduce tu Nivel de Radiación (ver pág. 33.2) en 1 durante 2d10 minutos.
Inhibidor de Radio (Radio Jammer),4kcr,"Dispositivo del tamaño de una mochila que, al activarse, hace incomprensibles todas las señales de radio dentro de 100km."
Rebreather (Rebreather),500cr,"Cuando se usa, filtra el aire tóxico y/o permite la respiración bajo el agua hasta por 20 minutos a la vez sin salir a la superficie. Se puede conectar a un tanque de oxígeno."
Mochila (Rucksack),50cr,"Mochila grande, duradera e impermeable."
Dron de Salvamento (Salvage Drone),10kcr,"Dron operado por batería y controlado a distancia. Requiere dos manos para operar el receptor. Puede volar hasta 450m de altura, a una distancia de 3km del operador. Puede funcionar durante 2 horas. Puede grabar y transmitir imágenes al receptor. Si se compra por separado, se puede equipar con hasta dos de los siguientes: prismáticos, inhibidor de radio, contador Geiger, cortadora láser, mediscaner, localizador personal, gafas infrarrojas, baliza de emergencia, escáner de diagnóstico cibernético, bioscáner. Puede transportar hasta 20-30kg."
Kit de Recolección de Muestras (Sample Collection Kit),50cr,"Se utiliza para investigar xenoflora y xenofauna en el campo. Puede tomar signos vitales, muestras de ADN y recolectar otros datos sobre material extraño. Los resultados pueden no ser instantáneos y pueden requerir un laboratorio para un análisis completo."
Comunicaciones de Corto Alcance (Short-range Comms),100cr,"Permite la comunicación de nave a nave dentro de una distancia razonable, así como de superficie a superficie dentro de una docena de kilómetros. Bloqueado por el inhibidor de radio."
Accesorio de Enlace Inteligente (Smart-link Add-On),10kcr,"Otorga visualización remota, grabación y operación de un arma a distancia, así como +5 DMG al arma."
Stimpak (Stimpak),1kcr c/u,"Cura la criosickness, reduce el Estrés en 1, restaura 1d10 Salud (Health) y otorga [+] a todas las tiradas durante 1d10 min. Tira 1d10. Si tiras por debajo de la cantidad de dosis que has tomado en las últimas 24 horas, haz una Salvación de Muerte (Death Save)."
Dispositivo de Filtración de Agua (Water Filtration Device),50cr,Puede bombear 4 litros de agua filtrada por hora incluso de los pantanos más salobres.
